Model,ROC-AUC,PR-AUC,Recall,F1,Brier
Logistic Regression,0.9171487603305785,0.3189765045643962,0.8181818181818182,0.3025210084033613,0.09189060202149354
XGBoost,0.955957300275482,0.5207803119006673,0.45454545454545453,0.47619047619047616,0.024496933850326297
CatBoost,0.9443526170798897,0.4513686530369647,0.5227272727272727,0.5168539325842697,0.026363908784484864
